dataset_id,municipio,province,zone_id,candidate_distributor,production_confidence,source_kind,source_name,source_url,last_reviewed,notes
canarias,El Rosario,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::el_rosario,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,El Sauzal,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::el_sauzal,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,El Tanque,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::el_tanque,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Fasnia,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::fasnia,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Firgas,Las Palmas,municipality:las_palmas::firgas,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Frontera,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::frontera,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Fuencaliente de la Palma,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::fuencaliente_de_la_palma,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Gáldar,Las Palmas,municipality:las_palmas::galdar,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Garachico,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::garachico,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Garafía,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::garafia,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Granadilla de Abona,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::granadilla_de_abona,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Guía de Isora,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::guia_de_isora,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Güímar,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::guimar,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Haría,Las Palmas,municipality:las_palmas::haria,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Hermigua,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::hermigua,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Icod de los Vinos,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::icod_de_los_vinos,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Ingenio,Las Palmas,municipality:las_palmas::ingenio,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,La Aldea de San Nicolás,Las Palmas,municipality:las_palmas::la_aldea_de_san_nicolas,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,La Guancha,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::la_guancha,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,La Matanza de Acentejo,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::la_matanza_de_acentejo,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,La Oliva,Las Palmas,municipality:las_palmas::la_oliva,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,La Orotava,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::la_orotava,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,La Victoria de Acentejo,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::la_victoria_de_acentejo,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Las Palmas de Gran Canaria,Las Palmas,municipality:las_palmas::las_palmas_de_gran_canaria,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Los Llanos de Aridane,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::los_llanos_de_aridane,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Los Realejos,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::los_realejos,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Los Silos,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::los_silos,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Mogán,Las Palmas,municipality:las_palmas::mogan,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Moya,Las Palmas,municipality:las_palmas::moya,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Pájara,Las Palmas,municipality:las_palmas::pajara,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Puerto de la Cruz,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::puerto_de_la_cruz,"Distribuidora Eléctrica del Puerto de la Cruz, S.A.",verified_partial,local_exception,CNMC censo R1-294 y web pública de la distribuidora,https://www.electricapuertodelacruz.com/,2026-05-06,Excepción local detectada antes de importar el regional_default de e-distribución.
canarias,Puerto del Rosario,Las Palmas,municipality:las_palmas::puerto_del_rosario,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Puntagorda,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::puntagorda,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,Puntallana,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::puntallana,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,San Andrés y Sauces,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::san_andres_y_sauces,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,San Bartolomé,Las Palmas,municipality:las_palmas::san_bartolome,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,San Bartolomé de Tirajana,Las Palmas,municipality:las_palmas::san_bartolome_de_tirajana,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,San Cristóbal de La Laguna,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::san_cristobal_de_la_laguna,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
canarias,San Juan de la Rambla,Santa Cruz de Tenerife,municipality:santa_cruz_de_tenerife::san_juan_de_la_rambla,"e-distribución Redes Digitales, S.L.U.",regional_default,regional_default,e-distribución — distribución eléctrica,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,2026-05-06,Promoted from focused review as regional_default orientation.
