dataset_id,geo_zones,hint_zones,missing_hint,candidate_verify_interactive_map,candidate_source_upgrade_review,keep_verified_partial,keep_regional_orientation,manual_source_review,duplicate_zone_ids,top_distributors,top_sources
galicia,313,313,0,0,0,141,172,0,0,"UFD Distribución Electricidad, S.A.=168 | Barras Eléctricas Galaico-Asturianas, S.A. (BEGASA)=66 | Unión Distribuidores Electricidad S.A. (Udesa)=17 | Electra de Cabalar, S.L.=6 | Electra del Narahío S.A.=6 | Eléctrica de Moscoso, S.L.=5 | Sociedad Electricista de Tui S.A.=5 | Industrial Barcalesa, S.L.=4 | Eléctrica de Cantoña, S.L.=4 | San Miguel 2000, Distribuición S.L.=4 | Hidroeléctrica de Laracha S.L.=3 | Central Eléctrica Industrial, S.L.U.=3",UFD/Naturgy presencia regional Galicia=106 | APYDE ficha pública=84 | BEGASA información pública distribuidora Lugo=66 | CNMC C/1436/24 Grupo EHR/Moscoso=4 | DOG 9/2024 UFD en A Coruña=1 | DOG 220/2024 UFD en A Pobra do Caramiñal=1 | DOG 51/2026 UFD en Aranga=1 | DOG 52/2026 UFD en Ares=1 | DOG 66/2026 UFD en Bergondo=1 | DOG 156/2025 UFD en Betanzos=1 | DOG 52/2026 UFD en Boimorto=1 | DOG 80/2026 UFD en Boiro=1
asturias,78,78,0,0,0,2,76,0,0,"E-REDES Distribución=78 | Electra de Carbayín, S.A.U.=2",E-REDES — información pública distribuidora=78 | Electra de Carbayín — área de distribución=2
cantabria,103,103,0,0,0,0,103,0,0,Viesgo Distribución=103,Viesgo Distribución — información pública distribuidora=103
la_rioja,175,175,0,175,0,0,0,0,0,"i-DE Redes Eléctricas Inteligentes, S.A.U.=175",i-DE — mapa oficial de distribuidoras=175
