dataset_id,source_kind,name,url,use,ok,status_code,final_url,title,content_type,bytes_read,has_sensitive_pattern_in_probe,keywords,error
galicia,current_hint_source,DOG 82/2026 UFD en Sada,https://www.xunta.gal/dog/Publicados/2026/20260505/AnuncioG0763-130426-0015_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2026/20260505/AnuncioG0763-130426-0015_es.html,"DOG 82 del 5/5/2026 - ACUERDO de 10 de abril de 2026, del Departamento Territorial de A Coruña, de levantamiento de las actas previas a la ocupación de los bienes y derechos afecta",text/html; charset=UTF-8,9767,True,distribución | galicia,
galicia,current_hint_source,DOG 163/2025 UFD en Teo,https://www.xunta.gal/dog/Publicados/2025/20250827/AnuncioG0763-050825-0005_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250827/AnuncioG0763-050825-0005_es.html,"DOG 163 del 27/8/2025 - RESOLUCIÓN de 1 de agosto de 2025, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción y",text/html; charset=UTF-8,22278,False,distribución | red | galicia,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/electra-zas/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/electra-zas/,Electra de Zas S.L. – APYDE,text/html; charset=UTF-8,129033,True,distribución | red,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/matanza-garcia/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/matanza-garcia/,Hidroeléctrica José Matanza García S. L. – APYDE,text/html; charset=UTF-8,129202,True,distribución | red,
galicia,current_hint_source,DOG 223/2022 Electra Alto Miño,https://www.xunta.gal/dog/Publicados/2022/20221123/AnuncioV0653-281022-0007_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2022/20221123/AnuncioV0653-281022-0007_es.html,"DOG 223 del 23/11/2022 - RESOLUCIÓN de 27 de octubre de 2022, de la Jefatura Territorial de Ourense, por la que se concede la autorización administrativa previa y de construcción a",text/html; charset=UTF-8,12486,False,distribución | distribuidora | red | galicia,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/castro-caldelas/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/castro-caldelas/,Eléctrica de Castro Caldelas S.L. – APYDE,text/html; charset=UTF-8,129168,True,distribución | red,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/electrica-de-albergueria/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/electrica-de-albergueria/,Eléctrica de Alberguería – APYDE,text/html; charset=UTF-8,130061,True,red,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/electrica-cantona/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/electrica-cantona/,"Eléctrica de Cantoña, S.L. – APYDE",text/html; charset=UTF-8,129269,True,distribución | red,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/distribuidora-melon/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/distribuidora-melon/,"Distribuidora Eléctrica de Melón, S.L. – APYDE",text/html; charset=UTF-8,129228,True,distribuidora | red,
galicia,current_hint_source,DOG 38/2026 UFD en Ourense,https://www.xunta.gal/dog/Publicados/2026/20260226/AnuncioG0763-040226-0011_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2026/20260226/AnuncioG0763-040226-0011_es.html,"DOG 38 del 26/2/2026 - RESOLUCIÓN de 3 de febrero de 2026, de la Dirección General de Planificación Energética y Minas, por la que se otorgan las autorizaciones administrativas pre",text/html; charset=UTF-8,22147,True,distribución | red | galicia,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/san-miguel/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/san-miguel/,"San Miguel 2000, Distribuición S.L. – APYDE",text/html; charset=UTF-8,129278,True,distribución | red,
galicia,current_hint_source,DOG 235/2024 UFD en A Cañiza,https://www.xunta.gal/dog/Publicados/2024/20241205/AnuncioG0763-141124-0008_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20241205/AnuncioG0763-141124-0008_es.html,"DOG 235 del 5/12/2024 - RESOLUCIÓN de 14 de noviembre de 2024, del Departamento Territorial de Pontevedra, por la que se anuncia el levantamiento de las actas previas a la ocupació",text/html; charset=UTF-8,11430,False,distribución | red | galicia,
galicia,current_hint_source,DOG 115/2024 UFD en A Estrada,https://www.xunta.gal/dog/Publicados/2024/20240614/AnuncioG0763-270524-0005_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20240614/AnuncioG0763-270524-0005_es.html,"DOG 115 del 14/6/2024 - RESOLUCIÓN de 24 de mayo de 2024, de la Dirección Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción d",text/html; charset=UTF-8,17945,True,distribución | galicia,
galicia,current_hint_source,DOG 48/2024 UFD en A Guarda,https://www.xunta.gal/dog/Publicados/2024/20240307/AnuncioG0692-160224-0006_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20240307/AnuncioG0692-160224-0006_es.html,"DOG 48 del 7/3/2024 - RESOLUCIÓN de 13 de febrero de 2024, de la Jefatura Territorial de Pontevedra, de autorización administrativa previa, declaración, en concreto, de utilidad pú",text/html; charset=UTF-8,20134,False,distribución | municipio | galicia,
