dataset_id,zone_id,municipality,province,review_status,candidate_distributor,candidate_confidence,source_url,source_label,review_notes
andalucia,municipality:cadiz::alcala_de_los_gazules,Alcalá de los Gazules,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::alcala_del_valle,Alcalá del Valle,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::algeciras,Algeciras,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::arcos_de_la_frontera,Arcos de la Frontera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::benalup_casas_viejas,Benalup-Casas Viejas,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::castellar_de_la_frontera,Castellar de la Frontera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::chiclana_de_la_frontera,Chiclana de la Frontera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::conil_de_la_frontera,Conil de la Frontera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::cadiz,Cádiz,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::el_gastor,El Gastor,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::el_puerto_de_santa_maria,El Puerto de Santa María,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::espera,Espera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::grazalema,Grazalema,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::jerez_de_la_frontera,Jerez de la Frontera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::los_barrios,Los Barrios,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::medina_sidonia,Medina Sidonia,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::paterna_de_rivera,Paterna de Rivera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::puerto_real,Puerto Real,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::puerto_serrano,Puerto Serrano,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::san_jose_del_valle,San José del Valle,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::san_martin_del_tesorillo,San Martín del Tesorillo,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::san_roque,San Roque,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::setenil_de_las_bodegas,Setenil de las Bodegas,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::tarifa,Tarifa,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::torre_alhaquime,Torre Alháquime,Cádiz,pending_municipal_review,,,,,
